電影,中字,刑警,媽媽,官網,韓國,預告
來自星星的你,0.009891906206558547,0.0,0.0,0.0,0.24833073213577367,0.07341127378643862
加油吧威基基,0.1803420060080305,0.019182441944156577,0.025517175528479916,0.011119660067613375,0.009738914946445042,0.09245676083326079
成為王的男人,0.0,0.005244331752122036,0.0,0.0,0.0,0.0065803903783841254
死之詠讚,0.0,0.0,0.010830938751982015,0.0,0.03891936929928361,0.03404046176140608
男朋友,0.040620468027373534,0.061929501988214536,0.03612370476849141,0.0036600751720830757,0.0988723278227834,0.026871507418832184
皇后的品格,0.09209563460499846,0.011676027653780644,0.0,0.0,0.09249563353566564,0.14627214579885212
皮諾丘,0.36874230946094744,0.00024504454418344546,0.0,0.02612538312155009,0.11142401679510908,0.11280917599827717
神的測驗,0.0,0.23671456432464277,0.012182437484975848,0.03523135730800756,0.10700720673999922,0.050580317058834506
赤月青日,0.02199414061633101,0.06382674645711668,0.05006933688210742,0.004879095501953427,0.003609468921365879,0.008025059200235538
魔女寶鑑,0.0,0.0,0.38799463846971305,0.3009753014052234,0.09122469614241843,0.1088010125706072
